timestamp,archivo,filas,columnas,duplicados_por_planta,conflictos_por_planta
2026-09-12 14:08:30,fact_mantenimiento.csv,7908,10,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-12 14:08:40,fact_mantenimiento.csv,7908,10,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-12 14:09:47,fact_mantenimiento.csv,7908,10,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-12 14:11:52,fact_mantenimiento.csv,7908,10,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-13 13:53:58,fact_mantenimiento.csv,7908,10,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-13 14:13:36,fact_mantenimiento.csv,7908,10,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-15 18:38:20,fact_paradas.csv,10527,9,"{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}"
2026-09-15 18:42:20,fact_paradas.csv,10527,9,"{'PN': 3683, 'PC': 3579, 'PS': 3265}","{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}",0,908,5029631267497078567
2026-09-17 11:43:09,fact_paradas.csv,10527,9,"{'PN': 3683, 'PC': 3579, 'PS': 3265}","{'PN': np.int64(0), 'PC': np.int64(0), 'PS': np.int64(0)}","{'PN': 0, 'PC': 0, 'PS': 0}",0,908,5029631267497078567
